"country";"iucn_cat";"count";"area_ha"
"NZL";"Ia";113;17983.7901770145
"NZL";"Ib";4;108657.846286582
"NZL";"II";12;1074464.98982299
"NZL";"III";3220;2883588.13164368
"NZL";"IV";36;46656.7921241381
"NZL";"Not Applicable";1;79281.4138783238
"NZL";"Not Reported";421;162241.215907501
"NZL";"V";43;1368192.43743587
"OMN";"II";1;2814886.9901349
"OMN";"V";1;24000.619641359
"PAK";"II";5;813917.624648772
"PAK";"IV";46;2942541.16028358
"PAK";"Not Applicable";6;65691.3771547311
"PAK";"Not Reported";69;4805039.96590186
"PAK";"V";5;94044.1589414627
"PAK";"VI";2;18020.7791654025
"PAN";"II";6;202403.620117993
"PAN";"III";2;8617.35229544072
"PAN";"IV";1;255.648584075672
"PAN";"Not Applicable";2;764520.699063139
"PAN";"Not Reported";24;818381.060304954
"PAN";"V";1;385.909972727438
"PAN";"VI";1;167789.375585072
"PER";"II";12;7933564.77210918
"PER";"III";12;323948.302046634
"PER";"IV";2;8592.70413266347
"PER";"Not Applicable";8;6212958.60525537
"PER";"Not Reported";147;21431946.8275714
"PER";"V";2;711633.912144691
"PER";"VI";27;6382813.20066508
"PHL";"Ib";1;559.833520263667
"PHL";"II";43;409424.537675864
"PHL";"III";3;18122.4276565373
"PHL";"IV";7;1250688.66931227
"PHL";"Not Applicable";2;147957.866590204
"PHL";"Not Reported";15;84699.2477161296
"PHL";"V";24;178971.826445924
"PHL";"VI";59;769353.640436418
"PNG";"Not Reported";29;665037.089485672
"POL";"Ia";1;115.413231355265
"POL";"II";14;169291.903084234
"POL";"IV";1420;169761.517474229
"POL";"Not Applicable";953;7921124.92848605
"POL";"Not Reported";154;3364448.17417955
"POL";"V";119;2569317.48952303
"POL,BLR";"Not Applicable";1;92789.3792434888
"PRI";"Not Reported";17;19463.6212667573
"PRI";"VI";1;11407.3521953094
"PRT";"Ia";17;6944.65874157267
"PRT";"Ib";25;76755.8796453717
"PRT";"II";1;69590.974831754
