"country","iucn_cat","count","area_ha"
"MDG","Not Reported",71,4074200.19327676
"MDG","VI",5,438941.831459538
"MEX","Ia",15,629.302917037645
"MEX","II",46,1411362.06701732
"MEX","III",7,17071.9052724686
"MEX","Not Applicable",45,14509598.5186166
"MEX","Not Reported",690,10304277.024519
"MEX","VI",63,17009057.8688105
"MKD","Ia",1,23.2323880733994
"MKD","II",3,115034.348290182
"MKD","III",38,78331.1288081105
"MKD","IV",9,3040.47497525513
"MKD","Not Applicable",3,103584.77329547
"MKD","Not Reported",1,7774.4204897274
"MLI","II",5,589408.186642638
"MLI","IV",16,5183903.04014298
"MLI","Not Applicable",2,1168350.44430362
"MLI","VI",10,1207407.73063612
"MLT","Ia",9,139.654984219407
"MLT","Ib",75,7839.32942317337
"MLT","II",7,601.941918809025
"MLT","III",52,1031.63077038505
"MLT","IV",19,2025.77913784866
"MLT","Not Applicable",35,5841.15348232393
"MLT","Not Reported",39,21017.1508536549
"MLT","V",1,276.368658201259
"MLT","VI",1,1084.09493224327
"MMR","II",6,1475843.61329088
"MMR","IV",29,3164513.74692329
"MMR","Not Applicable",6,661008.54970434
"MMR","Not Reported",15,1754690.19507809
"MMR","VI",2,166504.592971092
"MNE","II",1,123349.071263982
"MNE","Not Applicable",1,36000.0439379034
"MNG","Ia",3,6290798.06375613
"MNG","Ib",9,4185392.42353335
"MNG","II",16,8375393.98041222
"MNG","III",22,2029441.27985896
"MNG","Not Applicable",9,6610953.80214108
"MNG,RUS","Not Applicable",1,1255030.50463735
"MNP","IV",2,586.633426053538
"MNP","Not Reported",2,24723826.7090332
"MNP","V",2,396.701310549086
"MOZ","II",5,2547238.83884756
"MOZ","IV",8,2870216.01027011
"MOZ","Not Reported",30,9436548.58250695
"MOZ","V",2,25939.2673038351
"MOZ","VI",2,254201.484920187
"MRT","II",1,1187598.98585647
"MRT","Not Applicable",3,2439328.12093789
"MTQ","Ia",2,3068.59726677887
"MTQ","IV",40,2691.63344318596
"MTQ","V",1,64285.2009399914
"MUS","II",1,5620.83103604564
"MUS","Not Reported",12,5816.14065572533
"MWI","II",5,612138.380959204
"MWI","IV",4,391558.254955153
"MWI","Not Applicable",2,218264.972805233
"MWI","Not Reported",45,622237.284073927
"MYS","Ia",90,433961.262096126
"MYS","II",55,1079809.5794046
"MYS","III",1,45.229321544837
"MYS","IV",13,415832.428505526
"MYS","Not Applicable",5,711819.817730637
"MYS","Not Reported",47,1593337.84672177
"MYS","V",7,112863.939448235
"MYS","VI",1,22593.0653471454
"MYT","IV",19,1821.96794089441
"MYT","Not Reported",1,6835725.20785014
"NAM","II",9,10022917.3096525
"NAM","III",2,146.656198271939
"NAM","IV",1,989.427526953356
"NAM","Not Applicable",4,4617187.54175233
"NAM","Not Reported",151,29856682.5717988
"NAM","V",3,51951.1939043651
"NAM","VI",1,950063.076033208
"NCL","Ia",2,22760.0566589986
"NCL","II",3,11450.2069694718
"NCL","IV",19,29330.2316731596
"NCL","V",6,1086.35868675028
"NER","Ia",1,1275457.44504324
"NER","II",1,221162.00804096
"NER","IV",4,16404363.6228931
"NER","Not Applicable",8,11090122.9758378
"NER","Not Reported",1,786232.374723702
"NGA","Ia",1,489.659338659045
"NGA","II",7,2095547.61759946
"NGA","IV",9,858452.548598938
"NGA","Not Applicable",9,1013120.99054838
"NGA","Not Reported",943,10416975.0996878
"NIC","Ia",1,883571.013228111
"NIC","II",2,17974.1222239177
"NIC","III",2,21524.6190631501
"NIC","IV",46,362514.226540875
"NIC","Not Applicable",1,42519.2656981021
"NIC","Not Reported",31,4163005.89662241
"NIC","VI",1,681571.987901117
"NLD","II",20,135374.305376181
"NLD","IV",285,1590320.01859895
"NLD","Not Applicable",259,3598791.16296697
"NLD,DEU","Not Applicable",1,982190.541286042
"NOR","Ia",2040,714171.206421618
"NOR","Ib",1,1904.44897284169
"NOR","II",34,3139979.84959607
"NOR","III",91,168.293565179982
"NOR","IV",229,530777.050142627
"NOR","Not Applicable",34,258370.865099344
"NOR","Not Reported",266,115076.677051017
"NOR","V",138,1364371.73961396
"NPL","II",9,1040205.79461154
"NPL","IV",3,99684.3599711946
"NPL","Not Applicable",3,245492.664028522
"NPL","Not Reported",4,124174.479435424
"NPL","VI",6,1349903.55581077
"NZL","Ia",148,773386.270438595
"NZL","Ib",4,108657.846286582
"NZL","II",14,2479579.64190089
"NZL","III",3245,2912491.9792259
"NZL","IV",46,57622.9199885451
"NZL","Not Applicable",3,4067014.38202315
"NZL","Not Reported",442,743099.996791967
"NZL","V",44,1368928.2415944
"NZL","VI",20,113421109.58123
"OMN","II",2,3284490.83826512
"OMN","IV",3,43610.1383328236
"OMN","V",1,24000.619641359
"PAK","II",6,980726.076487248
"PAK","IV",49,3095723.03495777
"PAK","Not Applicable",6,65691.3771547311
"PAK","Not Reported",72,5002945.52884052
"PAK","V",5,94044.1589414627
"PAK","VI",2,18020.7791654025
"PAN","II",12,1097765.56128178
"PAN","III",2,8617.35229544072
"PAN","IV",6,42901.7800198942
"PAN","Not Applicable",6,1307371.6692781
"PAN","Not Reported",35,1321555.9981698
"PAN","V",1,385.909972727438
"PAN","VI",1,167789.375585072
"PER","II",12,7933564.77210919
"PER","III",12,323948.302046634
"PER","IV",2,8592.70413266347
"PER","Not Applicable",12,6552761.33923531
"PER","Not Reported",149,21924353.9956308
"PER","V",2,711633.912144691
"PER","VI",53,6858628.03497114
"PHL","Ib",4,12495.439472201
"PHL","II",52,824012.807565724
"PHL","III",4,23679.6512273022
"PHL","IV",19,2727783.39708306
"PHL","Not Applicable",5,346660.682535485
"PHL","Not Reported",160,211458.383959603
"PHL","V",44,1419115.87521521
"PHL","VI",210,910918.981751125
"PLW","Not Applicable",1,100451.240984095
"PNG","III",1,969.847055786607
"PNG","IV",1,3.17815044586862
"PNG","Not Applicable",1,511452.230251172
"PNG","Not Reported",48,1522408.30499372
"PNG","VI",4,357432.603068747
"POL","Ia",1,115.413231355265
"POL","II",16,212440.883543245
"POL","IV",1420,169761.51747423
"POL","Not Applicable",979,9912213.83259299
"POL","Not Reported",154,3364448.17417954
"POL","V",121,2591294.37692213
"POL,BLR","Not Applicable",1,92789.3792434888
"PRI","IV",8,10020.27360818
"PRI","Not Reported",34,30490.2635805691
"PRI","VI",1,11407.3521953094
